[2025-07-04 00:32:39] [PERFORMANCE] Performance: page_load (189.37993049622ms) | action: page_load | duration_ms: 189.37993049622 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751589159440_4sh6sxipo
[2025-07-04 00:32:43] [PERFORMANCE] Performance: page_load (169.60096359253ms) | action: page_load | duration_ms: 169.60096359253 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:32:44] [PERFORMANCE] Performance: page_load (173.80809783936ms) | action: page_load | duration_ms: 173.80809783936 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751589163853_boljcuv9n
[2025-07-04 00:33:18] [PERFORMANCE] Performance: page_load (183.46190452576ms) | action: page_load | duration_ms: 183.46190452576 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:36:22] [PERFORMANCE] Performance: page_load (329.9880027771ms) | action: page_load | duration_ms: 329.9880027771 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:36:24] [PERFORMANCE] Performance: page_load (182.16800689697ms) | action: page_load | duration_ms: 182.16800689697 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751589383975_9gxqqklke
[2025-07-04 00:38:17] [PERFORMANCE] Performance: page_load (195.30701637268ms) | action: page_load | duration_ms: 195.30701637268 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:40:10] [PERFORMANCE] Performance: page_load (236.78994178772ms) | action: page_load | duration_ms: 236.78994178772 | user_id: 0 | ip: 89.38.23.196 | url: https://zippicks.com/xmlrpc.php
[2025-07-04 00:42:30] [PERFORMANCE] Performance: page_load (215.54613113403ms) | action: page_load | duration_ms: 215.54613113403 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:42:31] [PERFORMANCE] Performance: page_load (175.13704299927ms) | action: page_load | duration_ms: 175.13704299927 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751589751310_2pg38huys
[2025-07-04 00:42:32] [PERFORMANCE] Performance: page_load (159.39402580261ms) | action: page_load | duration_ms: 159.39402580261 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:42:33] [PERFORMANCE] Performance: page_load (175.99821090698ms) | action: page_load | duration_ms: 175.99821090698 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751589753494_y4n0676vm
[2025-07-04 00:42:37] [PERFORMANCE] Performance: page_load (150.59185028076ms) | action: page_load | duration_ms: 150.59185028076 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:42:37] [PERFORMANCE] Performance: page_load (139.09912109375ms) | action: page_load | duration_ms: 139.09912109375 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751589757468_b58g4hlqq
[2025-07-04 00:43:17] [PERFORMANCE] Performance: page_load (208.05382728577ms) | action: page_load | duration_ms: 208.05382728577 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:44:50] [PERFORMANCE] Performance: page_load (171.66805267334ms) | action: page_load | duration_ms: 171.66805267334 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:44:52] [PERFORMANCE] Performance: page_load (206.90202713013ms) | action: page_load | duration_ms: 206.90202713013 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751589891904_alpyp1378
[2025-07-04 00:48:04] [PERFORMANCE] Performance: page_load (224.09296035767ms) | action: page_load | duration_ms: 224.09296035767 | user_id: 0 | ip: 43.231.112.138 | url: https://zippicks.com/xmlrpc.php
