[2025-07-01 03:08:17] [PERFORMANCE] Performance: page_load (176.3608455658ms) | action: page_load | duration_ms: 176.3608455658 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 03:09:27] [PERFORMANCE] Performance: page_load (161.73911094666ms) | action: page_load | duration_ms: 161.73911094666 | user_id: 0 | ip: 51.222.253.20 | url: https://zippicks.com/wp-sitemap.xml
[2025-07-01 03:09:29] [PERFORMANCE] Performance: page_load (162.79888153076ms) | action: page_load | duration_ms: 162.79888153076 | user_id: 0 | ip: 51.222.253.3 | url: https://zippicks.com/wp-sitemap-posts-post-1.xml
[2025-07-01 03:09:30] [PERFORMANCE] Performance: page_load (165.45510292053ms) | action: page_load | duration_ms: 165.45510292053 | user_id: 0 | ip: 51.222.253.1 | url: https://zippicks.com/wp-sitemap-posts-page-1.xml
[2025-07-01 03:09:33] [PERFORMANCE] Performance: page_load (143.44716072083ms) | action: page_load | duration_ms: 143.44716072083 | user_id: 0 | ip: 51.222.253.4 | url: https://zippicks.com/wp-sitemap-posts-master_critic_list-1.xml
[2025-07-01 03:09:35] [PERFORMANCE] Performance: page_load (177.74796485901ms) | action: page_load | duration_ms: 177.74796485901 | user_id: 0 | ip: 51.222.253.20 | url: https://zippicks.com/wp-sitemap-taxonomies-category-1.xml
[2025-07-01 03:09:36] [PERFORMANCE] Performance: page_load (144.3829536438ms) | action: page_load | duration_ms: 144.3829536438 | user_id: 0 | ip: 51.222.253.20 | url: https://zippicks.com/wp-sitemap-users-1.xml
[2025-07-01 03:13:17] [PERFORMANCE] Performance: page_load (184.85498428345ms) | action: page_load | duration_ms: 184.85498428345 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 03:16:11] [PERFORMANCE] Performance: page_load (232.46693611145ms) | action: page_load | duration_ms: 232.46693611145 | user_id: 0 | ip: 83.219.249.209 | url: https://zippicks.com/
[2025-07-01 03:18:17] [PERFORMANCE] Performance: page_load (172.73092269897ms) | action: page_load | duration_ms: 172.73092269897 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 03:23:18] [PERFORMANCE] Performance: page_load (751.42288208008ms) | action: page_load | duration_ms: 751.42288208008 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 03:24:05] [PERFORMANCE] Performance: page_load (149.66988563538ms) | action: page_load | duration_ms: 149.66988563538 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-07-01 03:24:08] [PERFORMANCE] Performance: page_load (212.37993240356ms) | action: page_load | duration_ms: 212.37993240356 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-07-01 03:24:09] [PERFORMANCE] Performance: page_load (166.04685783386ms) | action: page_load | duration_ms: 166.04685783386 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/wp/v2/
[2025-07-01 03:26:44] [PERFORMANCE] Performance: page_load (129.03594970703ms) | action: page_load | duration_ms: 129.03594970703 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-07-01 03:26:57] [PERFORMANCE] Performance: page_load (210.74891090393ms) | action: page_load | duration_ms: 210.74891090393 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-07-01 03:26:58] [PERFORMANCE] Performance: page_load (176.58495903015ms) | action: page_load | duration_ms: 176.58495903015 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/wp/v2/
[2025-07-01 03:28:18] [PERFORMANCE] Performance: page_load (192.88802146912ms) | action: page_load | duration_ms: 192.88802146912 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 03:33:18] [PERFORMANCE] Performance: page_load (198.60601425171ms) | action: page_load | duration_ms: 198.60601425171 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 03:35:04] [PERFORMANCE] Performance: page_load (162.6410484314ms) | action: page_load | duration_ms: 162.6410484314 | user_id: 0 | ip: 52.6.5.24 | url: https://zippicks.com/terms
[2025-07-01 03:38:18] [PERFORMANCE] Performance: page_load (177.51002311707ms) | action: page_load | duration_ms: 177.51002311707 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 03:41:12] [PERFORMANCE] Performance: page_load (183.49695205688ms) | action: page_load | duration_ms: 183.49695205688 | user_id: 0 | ip: 23.108.18.14 | url: https://zippicks.com/critics
[2025-07-01 03:41:12] [PERFORMANCE] Performance: page_load (142.48490333557ms) | action: page_load | duration_ms: 142.48490333557 | user_id: 0 | ip: 23.108.18.14 | url: https://zippicks.com/vibes
