[2025-06-26 22:08:02] [PERFORMANCE] Performance: page_load (100.89111328125ms) | action: page_load | duration_ms: 100.89111328125 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:12:27] [PERFORMANCE] Performance: page_load (70.156812667847ms) | action: page_load | duration_ms: 70.156812667847 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/top10/top-italian-in-pleasanton/
[2025-06-26 22:13:02] [PERFORMANCE] Performance: page_load (81.752061843872ms) | action: page_load | duration_ms: 81.752061843872 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:13:15] [PERFORMANCE] Performance: page_load (55.948972702026ms) | action: page_load | duration_ms: 55.948972702026 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/pleasanton/top-italian/
[2025-06-26 22:13:15] [PERFORMANCE] Performance: page_load (60.10103225708ms) | action: page_load | duration_ms: 60.10103225708 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/top10/top-italian-in-pleasanton/
[2025-06-26 22:13:53] [PERFORMANCE] Performance: page_load (78.03201675415ms) | action: page_load | duration_ms: 78.03201675415 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/favicon.ico
[2025-06-26 22:13:53] [PERFORMANCE] Performance: page_load (92.432022094727ms) | action: page_load | duration_ms: 92.432022094727 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/apple-touch-icon-precomposed.png
[2025-06-26 22:13:53] [PERFORMANCE] Performance: page_load (67.3508644104ms) | action: page_load | duration_ms: 67.3508644104 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/apple-touch-icon.png
[2025-06-26 22:18:03] [PERFORMANCE] Performance: page_load (94.696044921875ms) | action: page_load | duration_ms: 94.696044921875 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:23:02] [PERFORMANCE] Performance: page_load (89.341163635254ms) | action: page_load | duration_ms: 89.341163635254 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:28:02] [PERFORMANCE] Performance: page_load (72.921991348267ms) | action: page_load | duration_ms: 72.921991348267 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:29:21] [PERFORMANCE] Performance: page_load (53.162813186646ms) | action: page_load | duration_ms: 53.162813186646 | user_id: 0 | ip: 8.217.211.82 | url: https://zippicks.com/robots.txt
[2025-06-26 22:29:23] [PERFORMANCE] Performance: page_load (71.539163589478ms) | action: page_load | duration_ms: 71.539163589478 | user_id: 0 | ip: 8.217.189.48 | url: https://zippicks.com/critic_review/actual-page-title-field/
[2025-06-26 22:33:02] [PERFORMANCE] Performance: page_load (88.340997695923ms) | action: page_load | duration_ms: 88.340997695923 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:38:03] [PERFORMANCE] Performance: page_load (81.711053848267ms) | action: page_load | duration_ms: 81.711053848267 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:43:02] [PERFORMANCE] Performance: page_load (95.603942871094ms) | action: page_load | duration_ms: 95.603942871094 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:47:24] [PERFORMANCE] Performance: page_load (84.568023681641ms) | action: page_load | duration_ms: 84.568023681641 | user_id: 0 | ip: 198.98.57.22 | url: https://zippicks.com/wp-login.php
[2025-06-26 22:47:33] [PERFORMANCE] Performance: page_load (125.18000602722ms) | action: page_load | duration_ms: 125.18000602722 | user_id: 0 | ip: 198.98.57.22 | url: https://zippicks.com/wp-login.php
[2025-06-26 22:48:02] [PERFORMANCE] Performance: page_load (79.345941543579ms) | action: page_load | duration_ms: 79.345941543579 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:53:02] [PERFORMANCE] Performance: page_load (81.303119659424ms) | action: page_load | duration_ms: 81.303119659424 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:58:02] [PERFORMANCE] Performance: page_load (86.235046386719ms) | action: page_load | duration_ms: 86.235046386719 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:59:11] [PERFORMANCE] Performance: page_load (68.371057510376ms) | action: page_load | duration_ms: 68.371057510376 | user_id: 0 | ip: 176.58.122.186 | url: https://zippicks.com/
[2025-06-26 23:01:54] [PERFORMANCE] Performance: page_load (78.119039535522ms) | action: page_load | duration_ms: 78.119039535522 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-06-26 23:02:11] [PERFORMANCE] Performance: page_load (61.608076095581ms) | action: page_load | duration_ms: 61.608076095581 | user_id: 0 | ip: 182.42.110.255 | url: https://zippicks.com/
[2025-06-26 23:03:02] [PERFORMANCE] Performance: page_load (76.375961303711ms) | action: page_load | duration_ms: 76.375961303711 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:03:15] [PERFORMANCE] Performance: page_load (42.491912841797ms) | action: page_load | duration_ms: 42.491912841797 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?interim-login=1&wp_lang=en_US
